Destination Port, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, Label,posicaoOriginal
443.0,9.0,5.0,358.0,3024.0,201.0,39.78,73.31,1525.0,0.0,604.8,805.61,5084085.0,635510.62,1674124.19,4776935.0,179991.0,44997.75,50929.19,93875.0,296.0,168.0,1.77,0.98,1525.0,225.47,515.45,265688.55,241.57,39.78,604.8,296.0,9.0,358.0,5.0,3024.0,29200.0,119.0,3.0,0.0,18145.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4084912.0,1361637.33,2357533.93,4083883.0,0.0,0.0,0.0,0.0,80.0,0.0,0.98,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,64622.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1126008.0,375336.0,650097.56,1126004.0,0.0,0.0,0.0,0.0,80.0,0.0,3.55,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,74714.0
80.0,1.0,1.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,41.54,41.54,6.0,6.0,0.0,0.0,9.0,6.0,6.0,20.0,1.0,6.0,1.0,6.0,253.0,300.0,0.0,0.0,40190.0
80.0,8.0,6.0,56.0,11607.0,20.0,7.0,5.66,4380.0,0.0,1934.5,2177.34,95900000.0,13700000.0,33200000.0,88800000.0,1881923.0,376384.6,840978.2,1880772.0,172.0,132.0,0.08,0.06,4380.0,777.93,1627.46,2648631.78,833.5,7.0,1934.5,172.0,8.0,56.0,6.0,11607.0,256.0,229.0,6.0,1.0,143146.0
53.0,2.0,2.0,180.0,244.0,90.0,90.0,0.0,122.0,122.0,122.0,0.0,48.0,48.0,0.0,48.0,4.0,4.0,0.0,4.0,40.0,40.0,10101.01,10101.01,122.0,102.8,17.53,307.2,128.5,90.0,122.0,40.0,2.0,180.0,2.0,244.0,-1.0,-1.0,1.0,0.0,203640.0
80.0,4.0,0.0,24.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11500000.0,3827040.33,6627799.53,11500000.0,0.0,0.0,0.0,0.0,80.0,0.0,0.35,0.0,6.0,6.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,1.0,166922.0
53.0,2.0,2.0,72.0,232.0,36.0,36.0,0.0,116.0,116.0,116.0,0.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,40.0,64.0,32.76,32.76,116.0,68.0,43.82,1920.0,85.0,36.0,116.0,40.0,2.0,72.0,2.0,232.0,-1.0,-1.0,1.0,0.0,59385.0
53.0,2.0,2.0,72.0,104.0,36.0,36.0,0.0,52.0,52.0,52.0,0.0,4.0,4.0,0.0,4.0,48.0,48.0,0.0,48.0,40.0,40.0,12195.12,12195.12,52.0,42.4,8.76,76.8,53.0,36.0,52.0,40.0,2.0,72.0,2.0,104.0,-1.0,-1.0,1.0,0.0,137597.0
61519.0,7.0,9.0,12976.0,56.0,5840.0,1853.71,2010.09,20.0,0.0,6.22,5.78,82000000.0,13700000.0,33400000.0,81900000.0,81900000.0,10200000.0,24200000.0,69200000.0,152.0,204.0,0.09,0.11,5840.0,847.47,1540.67,2373651.14,900.44,1853.71,6.22,152.0,7.0,12976.0,9.0,56.0,229.0,256.0,5.0,0.0,78673.0
