Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, URG Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Max, Active Min, Label,posicaoOriginal
80.0,2668978.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,11.240258,1.873376,667244.5,1331139.413,2663952.0,3.0,2668978.0,667244.5,1331139.413,2663952.0,3.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.873376,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,0.0,0.0,0.0,1.0,187466.0
53.0,47943.0,2.0,2.0,98.0,220.0,49.0,49.0,49.0,0.0,110.0,110.0,110.0,0.0,6632.876541,83.43240899999999,15981.0,27676.43987,47939.0,1.0,3.0,3.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,64.0,40.0,41.716205,41.716205,49.0,110.0,73.4,33.411076,1116.3,0.0,1.0,91.75,49.0,110.0,64.0,2.0,98.0,2.0,220.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,199174.0
80.0,10287006.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.9163,0.48605,2571751.5,5142819.0,10300000.0,322.0,10300000.0,2571751.5,5142819.0,10300000.0,322.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.48605,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,1026.0,1026.0,1026.0,1.0,99585.0
80.0,10018739.0,4.0,0.0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.395511,0.399252,3339579.667,5784318.194,10000000.0,1.0,10000000.0,3339579.667,5784318.194,10000000.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.399252,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,4.0,4.0,4.0,1.0,73991.0
80.0,8890792.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.374278,0.56238,2222698.0,4444737.358,8889804.0,0.0,8890792.0,2222698.0,4444737.358,8889804.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.56238,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,988.0,988.0,988.0,1.0,190189.0
80.0,2041108.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,14.697899,2.44965,510277.0,1018552.99,2038106.0,4.0,2041108.0,510277.0,1018552.99,2038106.0,4.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.44965,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,0.0,0.0,0.0,1.0,162524.0
80.0,9144615.0,4.0,0.0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.624495,0.43741599999999997,3048205.0,5279052.706,9143930.0,235.0,9144615.0,3048205.0,5279052.706,9143930.0,235.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.437416,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,685.0,685.0,685.0,1.0,88457.0
53.0,1473.0,2.0,2.0,70.0,194.0,35.0,35.0,35.0,0.0,97.0,97.0,97.0,0.0,179226.0692,2715.546504,491.0,846.108149,1468.0,1.0,1.0,1.0,0.0,1.0,1.0,4.0,4.0,0.0,4.0,4.0,40.0,80.0,1357.773252,1357.773252,35.0,97.0,59.8,33.958799,1153.2,0.0,1.0,74.75,35.0,97.0,40.0,2.0,70.0,2.0,194.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,224748.0
53.0,48504.0,2.0,2.0,74.0,164.0,37.0,37.0,37.0,0.0,82.0,82.0,82.0,0.0,4906.811809000001,82.467425,16168.0,27997.73528,48497.0,3.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,40.0,64.0,41.233713,41.233713,37.0,82.0,55.0,24.647515,607.5,0.0,1.0,68.75,37.0,82.0,40.0,2.0,74.0,2.0,164.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,219837.0
53.0,238.0,2.0,2.0,64.0,258.0,32.0,32.0,32.0,0.0,129.0,129.0,129.0,0.0,1352941.176,16806.722690000002,79.333333,98.561318,190.0,1.0,1.0,1.0,0.0,1.0,1.0,47.0,47.0,0.0,47.0,47.0,40.0,40.0,8403.361345000001,8403.361345000001,32.0,129.0,70.8,53.129088,2822.7,0.0,1.0,88.5,32.0,129.0,40.0,2.0,64.0,2.0,258.0,-1.0,-1.0,1.0,20.0,0.0,0.0,0.0,0.0,173672.0
