Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets, Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std, Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min, Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min, Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min, Fwd Header Length, Bwd Header Length, Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance, URG Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1, Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes, Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Active Mean, Active Max, Active Min, Label,posicaoOriginal
80.0,79197922.0,8.0,4.0,56.0,11601.0,20.0,0.0,7.0,5.656854,8760.0,0.0,2900.25,4128.319301,147.188205,0.151519,7199811.091,21100000.0,70300000.0,4.0,78400000.0,11200000.0,26200000.0,70300000.0,4.0,816003.0,272001.0,463873.4819,807616.0,189.0,172.0,92.0,0.101013,0.050506,0.0,8760.0,897.153846,2488.507044,6192667.307999998,0.0,0.0,971.916667,7.0,2900.25,172.0,8.0,56.0,4.0,11601.0,256.0,229.0,6.0,20.0,5985.0,5985.0,5985.0,1.0,67651.0
80.0,73373215.0,9.0,6.0,62.0,11607.0,20.0,0.0,6.888889,5.301991,5840.0,0.0,1934.5,2538.9192780000008,159.036237,0.204434,5240943.929,17400000.0,65200000.0,3.0,72800000.0,9103697.75,22800000.0,65200000.0,48.0,544349.0,108869.8,242956.3719,543483.0,3.0,192.0,132.0,0.122661,0.081774,0.0,5840.0,729.6875,1754.3447670000005,3077725.563,0.0,0.0,778.333333,6.888889,1934.5,192.0,9.0,62.0,6.0,11607.0,256.0,229.0,7.0,20.0,1328.0,1328.0,1328.0,1.0,21168.0
80.0,27030.0,3.0,6.0,26.0,11601.0,20.0,0.0,8.666667,10.263203,4380.0,0.0,1933.5,1757.789948,430151.6833,332.96337400000004,3378.75,6345.504545000002,16615.0,5.0,10014.0,5007.0,7073.896239,10009.0,5.0,26872.0,5374.4,7610.466563,16615.0,17.0,72.0,132.0,110.987791,221.975583,0.0,4380.0,1162.7,1645.241762,2706820.456,0.0,2.0,1291.888889,8.666667,1933.5,72.0,3.0,26.0,6.0,11601.0,8192.0,229.0,2.0,20.0,0.0,0.0,0.0,1.0,116283.0
80.0,5105861.0,4.0,0.0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,4.7004800000000015,0.783413,1701953.667,2947209.4460000005,5105098.0,338.0,5105861.0,1701953.667,2947209.4460000005,5105098.0,338.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.783413,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,763.0,763.0,763.0,1.0,110212.0
80.0,82523186.0,8.0,6.0,56.0,11601.0,20.0,0.0,7.0,5.656854,5840.0,0.0,1933.5,2189.772933,141.25727,0.169649,6347937.385,22300000.0,80500000.0,1.0,82500000.0,11800000.0,30300000.0,80500000.0,1.0,36316.0,7263.2,10026.31995,20920.0,49.0,172.0,132.0,0.096942,0.07270700000000001,0.0,5840.0,777.533333,1633.102694,2667024.41,0.0,0.0,833.071429,7.0,1933.5,172.0,8.0,56.0,6.0,11601.0,256.0,229.0,6.0,20.0,2025999.0,2025999.0,2025999.0,1.0,86055.0
80.0,8791622.0,4.0,0.0,24.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,2.7298720000000003,0.454979,2930540.667,5075203.603999998,8790881.0,313.0,8791622.0,2930540.667,5075203.603999998,8790881.0,313.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.454979,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.5,6.0,0.0,80.0,4.0,24.0,0.0,0.0,256.0,-1.0,3.0,20.0,741.0,741.0,741.0,1.0,45080.0
53.0,31415.0,4.0,2.0,168.0,204.0,42.0,42.0,42.0,0.0,102.0,102.0,102.0,0.0,11841.476999999999,190.99156499999998,6283.0,13689.245980000003,30767.0,3.0,30774.0,10258.0,17761.31501,30767.0,3.0,48.0,48.0,0.0,48.0,48.0,80.0,40.0,127.32771,63.66385500000001,42.0,102.0,59.14285699999999,29.277002000000003,857.142857,0.0,0.0,69.0,42.0,102.0,80.0,4.0,168.0,2.0,204.0,-1.0,-1.0,3.0,20.0,0.0,0.0,0.0,0.0,214075.0
53.0,48463.0,2.0,2.0,56.0,88.0,28.0,28.0,28.0,0.0,44.0,44.0,44.0,0.0,2971.33896,82.537193,16154.33333,27974.92996,48457.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,64.0,64.0,41.268597,41.268597,28.0,44.0,34.4,8.763561,76.8,0.0,1.0,43.0,28.0,44.0,64.0,2.0,56.0,2.0,88.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,197776.0
53.0,94917.0,2.0,2.0,60.0,156.0,30.0,30.0,30.0,0.0,78.0,78.0,78.0,0.0,2275.67243,42.142082,31639.0,54795.15935,94911.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,64.0,64.0,21.071041,21.071041,30.0,78.0,49.2,26.290683,691.2,0.0,1.0,61.5,30.0,78.0,64.0,2.0,60.0,2.0,156.0,-1.0,-1.0,1.0,32.0,0.0,0.0,0.0,0.0,213857.0
80.0,9890754.0,5.0,0.0,30.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0331360000000003,0.505523,2472688.5,4944033.037,9888738.0,155.0,9890754.0,2472688.5,4944033.037,9888738.0,155.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.505523,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,7.2,6.0,0.0,100.0,5.0,30.0,0.0,0.0,256.0,-1.0,4.0,20.0,2016.0,2016.0,2016.0,1.0,90711.0
